period,CIE_spf,CIE_mich
1999-3-31,2.02,2.69
1999-6-30,2.06,2.78
1999-9-30,2.10,2.87
1999-12-31,2.10,2.88
2000-3-31,2.08,2.83
2000-6-30,2.05,2.77
2000-9-30,2.04,2.75
2000-12-31,2.05,2.77
2001-3-31,2.07,2.81
2001-6-30,2.08,2.82
2001-9-30,2.08,2.82
2001-12-31,2.08,2.83
2002-3-31,2.09,2.85
2002-6-30,2.10,2.88
2002-9-30,2.11,2.89
2002-12-31,2.10,2.88
2003-3-31,2.09,2.86
2003-6-30,2.09,2.86
2003-9-30,2.11,2.90
2003-12-31,2.13,2.96
2004-3-31,2.15,3.00
2004-6-30,2.15,3.00
2004-9-30,2.14,2.98
2004-12-31,2.13,2.94
2005-3-31,2.12,2.92
2005-6-30,2.11,2.90
2005-9-30,2.11,2.89
2005-12-31,2.11,2.90
2006-3-31,2.11,2.91
2006-6-30,2.12,2.92
2006-9-30,2.12,2.92
2006-12-31,2.10,2.89
2007-3-31,2.09,2.85
2007-6-30,2.08,2.84
2007-9-30,2.09,2.86
2007-12-31,2.11,2.91
2008-3-31,2.13,2.96
2008-6-30,2.13,2.96
2008-9-30,2.11,2.90
2008-12-31,2.08,2.83
2009-3-31,2.07,2.81
2009-6-30,2.09,2.87
2009-9-30,2.12,2.94
2009-12-31,2.14,2.97
2010-3-31,2.12,2.94
2010-6-30,2.10,2.89
2010-9-30,2.10,2.87
2010-12-31,2.11,2.90
2011-3-31,2.13,2.95
2011-6-30,2.13,2.96
2011-9-30,2.12,2.92
2011-12-31,2.10,2.87
2012-3-31,2.09,2.85
2012-6-30,2.09,2.86
2012-9-30,2.10,2.89
2012-12-31,2.11,2.90
2013-3-31,2.10,2.88
2013-6-30,2.09,2.86
2013-9-30,2.08,2.84
2013-12-31,2.08,2.84
2014-3-31,2.08,2.83
2014-6-30,2.07,2.80
2014-9-30,2.04,2.74
2014-12-31,2.02,2.68
2015-3-31,2.00,2.64
2015-6-30,2.00,2.64
2015-9-30,1.99,2.62
2015-12-31,1.98,2.58
2016-3-31,1.95,2.53
2016-6-30,1.94,2.50
2016-9-30,1.95,2.52
2016-12-31,1.97,2.57
2017-3-31,1.99,2.61
2017-6-30,1.99,2.61
2017-9-30,1.98,2.59
2017-12-31,1.98,2.60
2018-3-31,1.99,2.63
2018-6-30,2.00,2.65
2018-9-30,2.00,2.64
2018-12-31,1.99,2.61
2019-3-31,1.97,2.58
2019-6-30,1.97,2.56
2019-9-30,1.96,2.55
2019-12-31,1.95,2.53
2020-3-31,1.94,2.49
2020-6-30,1.93,2.47
2020-9-30,1.94,2.50
2020-12-31,1.98,2.59
2021-3-31,2.02,2.70
2021-6-30,2.05,2.77
2021-9-30,2.06,2.78
